State,Year,Month,Indicated,Combined_Value
Arizona,2020,11.0,Depression,22.173079847908745
Arizona,2020,12.0,Anxiety,34.7
Arizona,2020,12.0,Depression,24.409168278529982
Arizona,2021,1.0,Anxiety,35.2
Arizona,2021,1.0,Depression,19.98041996830428
Arizona,2021,2.0,Anxiety,32.2
Arizona,2021,2.0,Depression,21.129661308840415
Arizona,2021,3.0,Anxiety,31.049999999999997
Arizona,2021,3.0,Depression,18.09831168831169
Arizona,2021,4.0,Anxiety,28.05
Arizona,2021,4.0,Depression,19.72819796954315
Arizona,2021,5.0,Anxiety,25.05
Arizona,2021,5.0,Depression,18.53769588313413
Arizona,2021,6.0,Anxiety,27.299999999999997
Arizona,2021,6.0,Depression,20.586987673343607
Arizona,2021,7.0,Anxiety,27.2
Arizona,2021,7.0,Depression,18.75297709923664
Arizona,2021,8.0,Anxiety,28.95
Arizona,2021,8.0,Depression,20.20137860082305
Arizona,2021,9.0,Anxiety,27.8
Arizona,2021,9.0,Depression,20.641271217045865
Arizona,2021,10.0,Depression,20.301783264746227
Arizona,2021,11.0,Depression,20.10723860589812
Arizona,2021,12.0,Anxiety,28.7
Arizona,2021,12.0,Depression,18.886428571428574
Arizona,2022,1.0,Anxiety,26.1
Arizona,2022,1.0,Depression,20.544347826086955
Arizona,2022,2.0,Depression,22.5140712945591
Arizona,2022,3.0,Anxiety,27.7
Arizona,2022,3.0,Depression,22.533198594024604
Arizona,2022,4.0,Anxiety,25.7
Arizona,2022,4.0,Depression,17.785280528052805
Arizona,2022,5.0,Depression,19.917864476386036
Arizona,2022,6.0,Anxiety,29.35
Arizona,2022,6.0,Depression,21.69246913580247
Arizona,2022,7.0,Anxiety,29.0
Arizona,2022,7.0,Depression,21.361658767772514
Arizona,2022,8.0,Depression,19.607843137254903
Arizona,2022,9.0,Anxiety,34.5
Arizona,2022,9.0,Depression,22.226438356164383
Arizona,2022,10.0,Anxiety,35.4
Arizona,2022,10.0,Depression,22.04612244897959
Arizona,2022,11.0,Anxiety,29.3
Arizona,2022,11.0,Depression,22.93918032786885
Arizona,2022,12.0,Anxiety,27.3
Arizona,2022,12.0,Depression,18.313225806451612
Arizona,2023,1.0,Anxiety,28.4
Arizona,2023,1.0,Depression,20.93246575342466
Arizona,2023,2.0,Anxiety,31.8
Arizona,2023,2.0,Depression,19.027254528122022
Arizona,2023,3.0,Anxiety,27.65
Arizona,2023,3.0,Depression,22.112564102564104
Arizona,2023,4.0,Anxiety,26.2
Arizona,2023,4.0,Depression,17.825647899910635
Arizona,2023,5.0,Depression,18.559556786703602
Arizona,2023,6.0,Anxiety,26.5
Arizona,2023,6.0,Depression,21.3282944606414
Arizona,2023,7.0,Anxiety,29.9
Arizona,2023,7.0,Depression,21.61926542605289
Arizona,2023,8.0,Anxiety,25.6
Arizona,2023,8.0,Depression,21.389583766909467
Arizona,2023,9.0,Anxiety,26.2
Arizona,2023,9.0,Depression,18.217934560327198
Arizona,2023,10.0,Anxiety,29.0
Arizona,2023,10.0,Depression,19.567846655791193
Arizona,2023,11.0,Depression,16.752246469833118
Arizona,2023,12.0,Depression,18.443804034582133
Arizona,2024,1.0,Anxiety,15.6
Arizona,2024,1.0,Depression,14.85
Arizona,2024,2.0,Anxiety,16.1
Arizona,2024,2.0,Depression,15.75
Arizona,2024,3.0,Anxiety,15.9
Arizona,2024,3.0,Depression,16.45
Arizona,2024,4.0,Anxiety,19.4
Arizona,2024,4.0,Depression,18.85
Arizona,2024,5.0,Anxiety,17.4
Arizona,2024,5.0,Depression,19.0
Arizona,2024,6.0,Anxiety,15.2
Arizona,2024,6.0,Depression,14.8
Arizona,2024,7.0,Anxiety,18.7
Arizona,2024,7.0,Depression,17.3
Arizona,2024,8.0,Anxiety,16.1
Arizona,2024,8.0,Depression,16.95
Arizona,2024,10.0,Depression,42.857142857142854
Arizona,2024,11.0,Depression,22.22222222222222
Arizona,2024,12.0,Depression,17.97752808988764
Arkansas,2019,1.0,Depression,14.285714285714285
Arkansas,2019,2.0,Depression,40.0
